threads,run,run_time
2,0,20.085
2,1,18.387
2,2,19.399
2,3,18.774
4,0,10.493
4,1,10.432
4,2,10.447
4,3,10.711
8,0,7.383
8,1,8.309
8,2,7.297
8,3,7.260
15,0,7.364
15,1,7.366
15,2,7.355
15,3,7.152
30,0,9.043
30,1,10.094
30,2,8.270
30,3,9.666
60,0,12.693
60,1,12.870
60,2,13.674
60,3,11.588
120,0,33.321
120,1,24.295
120,2,21.882
120,3,24.212
