threads,run,run_time
2,0,16.184
2,1,16.150
2,2,16.145
2,3,16.153
4,0,8.286
4,1,8.255
4,2,8.286
4,3,8.265
8,0,4.340
8,1,4.314
8,2,4.326
8,3,4.359
15,0,2.411
15,1,2.400
15,2,2.393
15,3,2.391
30,0,2.499
30,1,2.491
30,2,2.497
30,3,2.506
60,0,5.520
60,1,5.133
60,2,5.427
60,3,5.567
