threads,run,run_time
2,0,140.75
2,1,136.88
2,2,141.68
4,0,70.78
4,1,67.73
4,2,67.32
8,0,34.10
8,1,37.88
8,2,37.52
16,0,20.83
16,1,19.66
16,2,20.15
32,0,26.14
32,1,25.87
32,2,26.16
64,0,49.57
64,1,43.59
64,2,42.43
128,0,74.41
128,1,74.02
128,2,70.26
